name;main_category;ratings;no_of_ratings;discount_price;actual_price;;;;;;;;
VIMAL JONNEY Printed Men's Regular Shorts;sports & fitness;3.7;448;₹376;₹1,099;;;;;;;;
CHKOKKO Men Sports Workout Gym Shorts Basketball;sports & fitness;4.3;90;₹359;₹1,999;;;;;;;;
Wasan Football ShinGuard - (6-14 Years);sports & fitness;3.8;19;;₹205;;;;;;;;
"GSI Agility Flat Ring 16"" for Speed Training Sports | Fitness and Gymnastics (Pack of 4)";sports & fitness;3.9;13;₹349;₹700;;;;;;;;
EYEBOGLER Mens Hooded Neck Loose Fit Cotton T-Shirt;sports & fitness;3.8;8;₹419;₹2,499;;;;;;;;
Puma Sport Quarter (1P);sports & fitness;;;;₹199;;;;;;;;
Puma Men Track Pants;sports & fitness;4.6;3;₹1,036;₹2,799;;;;;;;;
JUST RIDER Men's Running Supporter - Pack of 2;sports & fitness;3.7;163;₹299;₹999;;;;;;;;
GKC PVC Football; Size 1 (Black-White);https://www.amazon.in/GKC-PVC-Football-Size-Black-White/dp/B08PMNSCPH/ref=sr_1_981?qid=1679217169&s=sports&sr=1-981;3.4;81;₹189;₹499;;;;;;;
Nivia Carbonite 5.0 Turf Football Shoes for Mens (Black) UK-11;sports & fitness;4.0;16;₹997;₹1,049;;;;;;;;
Sportyway Unisex Kids Argentina Football Jersey Set;sports & fitness;4.3;50;₹599;₹1,499;;;;;;;;
IST Sports Messi PU Football Size 5 (Black);sports & fitness;5.0;1;₹449;₹1,299;;;;;;;;
Max Women Sweatshirt;sports & fitness;4.6;3;₹349;₹599;;;;;;;;
VIMAL JONNEY Men's Regular Fit Trackpants(Pack of 2);sports & fitness;4.1;13;₹799;₹1,800;;;;;;;;
Laabha Women Black Cotton Cargo Track Pant;sports & fitness;3.6;45;₹500;₹1,999;;;;;;;;
Hy Featch Cotton Cargo Track Pant for Men; Men's Regular Fit Track Pants Lower with Multi-Pockets & Side Pockets;https://m.media-amazon.com/images/I/7153U+XsqeL._AC_UL320_.jpg;https://www.amazon.in/Hy-Featch-Regular-Multi-Pockets-Pockets/dp/B0BV72GZC1/ref=sr_1_1132?qid=1679217172&s=sports&sr=1-1132;2.2;48;₹999;₹1,999;;;;;;
Adidas Edge.4 FxG Football Shoe;sports & fitness;4.0;9;₹2,935;₹4,999;;;;;;;;
GYMIFICMen's Workout Set Compression Shirt and Pants Top Long Sleeve Sports Tight Base Layer Suit Quick Dry & Moisture-Wic...;sports & fitness;4.4;9;₹698;₹999;;;;;;;;
ONN Kid's Round Neck Full Sleeves Premium Thermal Top;sports & fitness;4.5;5;;₹395;;;;;;;;
Reebok Women's Relaxed Track Pants;sports & fitness;3.8;23;₹493;₹1,799;;;;;;;;
KART BLACK Plus Size Track Pants for Men | Plain Track Pant | Casual Fit Comfortable Track Pant Combo (Pack of 2);sports & fitness;5.0;1;₹849;₹1,800;;;;;;;;
Spongy Use & Throw Socks for Shoes Trial / Travel / Hospitals/ Hotels/Free size Socks for both Male & Female (Black_Mauje_...;sports & fitness;3.5;20;₹600;₹800;;;;;;;;
BALENZIA x Harry Potter Hogwarts Crest & Hogwarts Express Lowcut Socks for Women (Pack of 2)- Cream;sports & fitness;4.5;56;₹239;₹399;;;;;;;;
Van Heusen Men Tailored Synthetic Thermal Bottom;sports & fitness;3.7;95;;₹1,349;;;;;;;;
Lux Inferno Women's Cotton Thermal Top;sports & fitness;4.2;1,96;₹385;₹481;;;;;;;;
ONESPORT Women's Regular Fit Trackpants;sports & fitness;3.8;46;₹262;₹1,199;;;;;;;;
PRO Static Football Jersey PSG Messi Home Kit 2022-2023 - for Boys and men2022-23;sports & fitness;4.3;13;₹379;₹999;;;;;;;;
BELCO Double Action Ball Pump; Ball Pump with Needle Sports Ball Air Pump for Basketball; Vo...;sports & fitness;Football;https://m.media-amazon.com/images/I/61N8Adxx5TL._AC_UL320_.jpg;https://www.amazon.in/BELCO-Basketball-Football-Volleyball-Inflatable/dp/B09MSCCLFG/ref=sr_1_1144?qid=1679217172&s=sports&sr=1-1144;1.0;2;₹249;₹599;;;
Alan Jones Clothing Men's Slim Fit Poly Cotton Track Pants;sports & fitness;4.0;87;₹579;₹1,499;;;;;;;;
Cosco Rio Polyvinyl Chloride Football; Size 3;https://m.media-amazon.com/images/I/81o1NouyC4L._AC_UL320_.jpg;https://www.amazon.in/Cosco-Rio-Football-Small-Sized/dp/B00ID6OUYA/ref=sr_1_1146?qid=1679217172&s=sports&sr=1-1146;3.8;1,049;₹401;₹450;;;;;;
MARK LOUIIS Men's Gym Shorts.;sports & fitness;4.0;1,737;₹474;₹899;;;;;;;;
SAN Football Jersey Portugal Ronaldo Home Kitt- for Men and Sports Jersey for Men and Boys SAN Football Team 2022-23 Age ...;sports & fitness;3.6;9;₹332;₹999;;;;;;;;
Levi's Men Sweatshirt;sports & fitness;4.0;79;₹699;₹1,999;;;;;;;;
FITINC Men's Slim Fit Lycra; Poly Cotton Track Pant;https://www.amazon.in/FITINC-Lycra-Polycotton-Track-Pockets/dp/B08X1F5QJM/ref=sr_1_1150?qid=1679217172&s=sports&sr=1-1150;3.7;420;₹512;₹1,499;;;;;;;
JJ Jonex Football ; 32 Panel Size 5 Soccer Balls for Professional Players;https://www.amazon.in/JJ-Jonex-Football-Professional-Players/dp/B094VQ734W/ref=sr_1_1151?qid=1679217172&s=sports&sr=1-1151;2.0;3;₹769;₹999;;;;;;;
Agility Speed Training and Practice Hurdle Track and Fields 6 inch for Yellow Color Pack of 1 (7 Pieces);sports & fitness;;;₹489;₹1,999;;;;;;;;
Allen Solly Men Sweatshirt;sports & fitness;4.3;8;₹1,798;₹1,999;;;;;;;;
Amazon Brand - Symbol Women Sweatshirt;sports & fitness;3.9;3,336;₹709;₹2,199;;;;;;;;
TDTC Stainless Steel Inflating Pump Needle Pin Nozzle Soccer; Basketball;Football;https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/41Ej4EdXIEL._AC_UL320_.jpg;https://www.amazon.in/TDTC-Stainless-Basketball-Volleyball-Inflatable/dp/B0BSVJ25SN/ref=sr_1_1203?qid=1679217174&s=sports&sr=1-1203;;;₹179;₹349;;;;;
TRUEREVO 5 Inch Running Tight Shorts with Mobile Phone Pocket for Men Ultra Light Dry Fit Polyester Fabric;sports & fitness;4.0;270;₹599;₹699;;;;;;;;
Amazon Brand - Symbol Men's Relaxed Casual Pants;sports & fitness;3.9;70;₹427.02;₹1,899;;;;;;;;
U.S. POLO ASSN. Mens Solid Cotton Mid Rise Thermal Bottoms;sports & fitness;4.2;166;₹601;₹859;;;;;;;;
